namespace,name,iid,safe_complete,evidence_class,first_reason_code
Windows.Win32.AI.MachineLearning.DirectML,IDMLBindingTable,29c687dc-de74-4e3b-ab00-1168f2fc3cfc,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLCommandRecorder,e6857a76-2e3e-4fdd-bff4-5d2ba10fb453,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLCompiledOperator,6b15e56a-bf5c-4902-92d8-da3a650afea4,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLDebugDevice,7d6f3ac9-394a-4ac3-92a7-390cc57a8217,true,standard_derived,
Windows.Win32.AI.MachineLearning.DirectML,IDMLDevice,6dbd6437-96fd-423f-a98c-ae5e7c2a573f,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLDevice1,a0884f9a-d2be-4355-aa5d-5901281ad1d2,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLDeviceChild,27e83142-8165-49e3-974e-2fd66e4cb69d,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLDispatchable,dcb821a8-1039-441e-9f1c-b1759c2f3cec,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLObject,c8263aac-9e0c-4a2d-9b8e-007521a3317c,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLOperator,26caae7a-3081-4633-9581-226fbe57695d,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLOperatorInitializer,427c1113-435c-469c-8676-4d5dd072f813,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.DirectML,IDMLPageable,b1ab0825-4542-4a4b-8617-6dde6e8f6201,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.WinML,IMLOperatorAttributes,4b1b1759-ec40-466c-aab4-beb5347fd24c,false,,external_pointee_storage
Windows.Win32.AI.MachineLearning.WinML,IMLOperatorKernel,11c4b4a0-b467-4eaa-a1a6-b961d8d0ed79,true,standard_derived,
Windows.Win32.AI.MachineLearning.WinML,IMLOperatorKernelContext,82536a28-f022-4769-9d3f-8b278f84c0c3,false,,safe_projection_incomplete
Windows.Win32.AI.MachineLearning.WinML,IMLOperatorKernelCreationContext,5459b53d-a0fc-4665-addd-70171ef7e631,false,,incomplete_pointee_layout_for_storage
Windows.Win32.AI.MachineLearning.WinML,IMLOperatorKernelFactory,ef15ad6f-0dc9-4908-ab35-a575a30dfbf8,true,standard_derived,
